,n,27,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
334,133,33,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,134,40,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,135,43,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,136,45,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,137,41,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,138,34,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,139,35,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,140,46,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,141,43,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,142,35,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,143,43,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,144,41,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,145,34,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,146,39,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,147,35,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,148,33,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,149,42,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,150,35,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,151,45,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,152,43,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,153,46,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,154,43,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,155,36,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,156,48,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,157,34,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,158,41,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,159,48,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,160,40,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,161,35,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,162,38,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,163,43,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,164,47,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,165,34,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,166,40,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,167,37,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,168,39,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,169,47,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,170,40,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,171,42,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,172,35,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,173,36,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,174,40,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,175,48,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,176,37,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,177,33,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,178,45,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,179,41,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,180,40,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,181,39,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,182,39,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,183,36,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,184,47,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,185,35,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,186,40,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,187,34,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,188,36,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,189,48,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,190,36,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,191,44,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,192,34,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,193,42,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,194,43,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,195,34,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,196,36,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,197,41,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,198,48,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,199,42,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,200,35,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,201,38,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,202,40,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,203,35,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,204,47,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,205,35,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,206,43,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,207,33,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,208,47,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,209,41,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,210,45,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,211,42,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,212,35,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,213,41,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,214,40,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,215,35,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,216,41,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,217,45,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,218,35,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,219,45,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,220,38,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,221,41,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,222,45,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,223,34,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,224,43,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,225,48,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,226,40,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,227,33,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,228,38,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,229,34,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,230,43,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,231,45,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,232,44,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,233,35,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,234,46,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,235,46,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,236,38,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,237,42,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,238,36,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,239,36,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,240,37,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,241,34,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,242,37,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,243,45,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,244,35,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,245,47,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,246,39,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,247,36,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,248,41,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,249,34,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,250,37,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,251,44,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,252,44,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,253,39,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,254,34,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,255,34,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,256,34,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,257,45,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,258,37,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,259,40,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,260,34,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,261,37,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,262,46,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,263,48,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,264,39,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,265,48,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,266,44,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,267,39,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,268,36,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,269,36,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,270,48,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,271,45,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,272,37,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,273,44,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,274,48,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,275,44,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,276,39,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,277,44,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,278,38,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,279,33,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,280,42,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,281,39,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,282,42,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,283,45,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,284,48,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,285,41,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,286,43,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,287,39,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,288,42,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,289,35,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,290,37,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,291,43,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,292,47,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,293,33,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,294,43,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,295,38,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,296,36,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,297,34,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,298,42,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,299,48,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,300,42,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,301,34,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,302,48,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,303,48,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,304,38,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,305,39,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,306,35,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,307,39,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,308,34,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,309,41,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,310,44,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,311,33,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,312,45,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,313,45,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,314,44,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,315,42,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,316,44,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,317,47,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,318,45,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,319,48,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,320,38,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,321,43,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,322,34,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,323,44,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,324,35,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,325,33,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,326,45,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,327,46,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,328,33,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,329,34,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,330,47,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,331,48,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,332,48,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,333,48,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,334,42,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,335,47,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,336,41,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,337,48,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,338,34,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,339,39,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,340,46,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,341,48,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,342,36,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,343,40,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,344,44,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,345,37,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,346,45,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,347,38,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,348,39,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,349,34,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,350,44,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,351,34,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,352,40,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,353,42,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,354,44,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,355,44,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,356,37,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,357,41,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,358,47,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,359,46,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,360,43,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,361,46,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,362,47,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,363,41,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,364,48,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,365,47,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,366,45,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,367,39,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,368,48,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,369,46,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,370,46,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,371,37,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,372,40,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,373,47,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,374,34,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,375,42,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,376,45,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,377,37,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,378,38,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,379,34,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,380,36,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,381,41,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,382,43,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,383,37,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,384,42,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,385,46,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,386,45,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,387,44,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,388,42,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,389,33,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,390,45,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,391,46,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,392,47,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,393,44,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,394,35,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,395,38,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,396,47,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,397,37,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,398,39,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,399,41,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,400,47,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,401,36,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,402,43,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,403,33,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,404,45,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,405,36,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,406,43,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,407,48,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,408,46,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,409,39,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,410,41,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,411,43,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,412,40,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,413,33,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,414,33,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,415,37,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,416,35,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,417,46,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,418,41,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,419,46,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,420,34,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,421,40,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,422,39,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,423,43,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,424,34,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,425,37,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,426,43,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,427,44,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,428,40,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,429,44,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,430,42,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,431,39,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,432,37,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,433,41,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,434,41,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,435,48,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,436,36,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,437,40,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,438,42,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,439,43,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,440,47,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,441,42,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,442,37,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,443,48,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,444,34,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,445,36,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,446,46,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,447,42,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,448,46,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,449,37,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,450,34,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,451,48,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,452,46,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,453,35,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,454,41,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,455,37,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,456,42,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,457,36,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,458,44,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,459,47,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,460,42,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,461,45,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,462,33,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,463,38,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,464,42,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,465,40,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,466,45,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,467,44,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,468,41,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,469,40,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,470,44,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,471,42,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,472,43,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,473,45,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,474,41,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,475,33,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,476,39,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,477,35,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,478,48,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,479,45,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,480,45,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,481,47,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,482,48,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,483,42,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,484,36,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,485,41,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,486,44,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,487,44,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,488,46,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,489,47,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,490,47,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,491,47,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,492,43,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
