,n,4,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
853,808,20,11,,,,,,,,
854,809,22,11,,,,,,,,
855,810,22,11,,,,,,,,
856,811,25,11,,,,,,,,
857,812,24,11,,,,,,,,
858,813,16,11,,,,,,,,
859,814,21,11,,,,,,,,
860,815,19,11,,,,,,,,
861,816,16,11,,,,,,,,
862,817,16,11,,,,,,,,
863,818,27,11,,,,,,,,
864,819,21,11,,,,,,,,
865,820,22,11,,,,,,,,
866,821,22,11,,,,,,,,
867,822,20,11,,,,,,,,
868,823,24,11,,,,,,,,
869,824,21,11,,,,,,,,
870,825,21,11,,,,,,,,
871,826,22,11,,,,,,,,
872,827,27,11,,,,,,,,
873,828,20,11,,,,,,,,
874,829,19,11,,,,,,,,
875,830,24,11,,,,,,,,
876,831,18,11,,,,,,,,
877,832,21,11,,,,,,,,
878,833,26,11,,,,,,,,
879,834,17,11,,,,,,,,
880,835,16,11,,,,,,,,
881,836,17,11,,,,,,,,
882,837,22,11,,,,,,,,
883,838,24,11,,,,,,,,
884,839,16,11,,,,,,,,
885,840,27,11,,,,,,,,
886,841,27,11,,,,,,,,
887,842,21,11,,,,,,,,
888,843,18,11,,,,,,,,
889,844,25,11,,,,,,,,
890,845,21,11,,,,,,,,
891,846,17,11,,,,,,,,
892,847,19,11,,,,,,,,
893,848,22,11,,,,,,,,
894,849,22,11,,,,,,,,
895,850,18,11,,,,,,,,
896,851,25,11,,,,,,,,
897,852,25,11,,,,,,,,
898,853,27,11,,,,,,,,
899,854,23,11,,,,,,,,
900,855,25,11,,,,,,,,
901,856,20,11,,,,,,,,
902,857,18,11,,,,,,,,
903,858,27,11,,,,,,,,
904,859,22,11,,,,,,,,
905,860,26,11,,,,,,,,
906,861,17,11,,,,,,,,
907,862,24,11,,,,,,,,
908,863,26,11,,,,,,,,
909,864,19,11,,,,,,,,
910,865,19,11,,,,,,,,
911,866,18,11,,,,,,,,
912,867,20,11,,,,,,,,
913,868,19,11,,,,,,,,
914,869,27,11,,,,,,,,
915,870,19,11,,,,,,,,
916,871,18,11,,,,,,,,
917,872,24,11,,,,,,,,
918,873,19,11,,,,,,,,
919,874,17,11,,,,,,,,
920,875,24,11,,,,,,,,
921,876,27,11,,,,,,,,
922,877,21,11,,,,,,,,
923,878,23,11,,,,,,,,
924,879,23,11,,,,,,,,
925,880,22,11,,,,,,,,
926,881,25,11,,,,,,,,
927,882,26,11,,,,,,,,
928,883,20,11,,,,,,,,
929,884,20,11,,,,,,,,
930,885,20,11,,,,,,,,
931,886,23,11,,,,,,,,
932,887,26,11,,,,,,,,
933,888,26,11,,,,,,,,
934,889,26,11,,,,,,,,
935,890,17,11,,,,,,,,
936,891,24,11,,,,,,,,
937,892,18,11,,,,,,,,
938,893,18,11,,,,,,,,
939,894,19,11,,,,,,,,
940,895,23,11,,,,,,,,
941,896,16,11,,,,,,,,
942,897,21,11,,,,,,,,
943,898,20,11,,,,,,,,
944,899,25,11,,,,,,,,
945,900,20,11,,,,,,,,
946,901,16,11,,,,,,,,
947,902,18,11,,,,,,,,
948,903,20,11,,,,,,,,
949,904,21,11,,,,,,,,
950,905,19,11,,,,,,,,
951,906,19,11,,,,,,,,
952,907,18,11,,,,,,,,
953,908,21,11,,,,,,,,
954,909,22,11,,,,,,,,
955,910,21,11,,,,,,,,
956,911,20,11,,,,,,,,
957,912,19,11,,,,,,,,
958,913,18,11,,,,,,,,
959,914,16,11,,,,,,,,
960,915,19,11,,,,,,,,
961,916,24,11,,,,,,,,
962,917,21,11,,,,,,,,
963,918,21,11,,,,,,,,
964,919,20,11,,,,,,,,
965,920,26,11,,,,,,,,
966,921,20,11,,,,,,,,
967,922,26,11,,,,,,,,
968,923,26,11,,,,,,,,
969,924,20,11,,,,,,,,
970,925,24,11,,,,,,,,
971,926,26,11,,,,,,,,
972,927,22,11,,,,,,,,
973,928,19,11,,,,,,,,
974,929,26,11,,,,,,,,
975,930,19,11,,,,,,,,
976,931,21,11,,,,,,,,
977,932,20,11,,,,,,,,
978,933,21,11,,,,,,,,
979,934,18,11,,,,,,,,
980,935,22,11,,,,,,,,
981,936,24,11,,,,,,,,
982,937,23,11,,,,,,,,
983,938,17,11,,,,,,,,
984,939,19,11,,,,,,,,
985,940,20,11,,,,,,,,
986,941,23,11,,,,,,,,
987,942,16,11,,,,,,,,
988,943,22,11,,,,,,,,
989,944,20,11,,,,,,,,
990,945,18,11,,,,,,,,
991,946,24,11,,,,,,,,
992,947,21,11,,,,,,,,
993,948,19,11,,,,,,,,
994,949,18,11,,,,,,,,
995,950,16,11,,,,,,,,
996,951,17,11,,,,,,,,
997,952,26,11,,,,,,,,
998,953,23,11,,,,,,,,
999,954,23,11,,,,,,,,
1000,955,24,11,,,,,,,,
1001,956,22,11,,,,,,,,
1002,957,23,11,,,,,,,,
1003,958,25,11,,,,,,,,
1004,959,24,11,,,,,,,,
1005,960,19,11,,,,,,,,
1006,961,16,11,,,,,,,,
1007,962,21,11,,,,,,,,
1008,963,18,11,,,,,,,,
1009,964,19,11,,,,,,,,
1010,965,22,11,,,,,,,,
1011,966,23,11,,,,,,,,
1012,967,25,11,,,,,,,,
1013,968,24,11,,,,,,,,
1014,969,23,11,,,,,,,,
1015,970,20,11,,,,,,,,
1016,971,25,11,,,,,,,,
1017,972,26,11,,,,,,,,
1018,973,16,11,,,,,,,,
1019,974,25,11,,,,,,,,
1020,975,24,11,,,,,,,,
1021,976,27,11,,,,,,,,
1022,977,24,11,,,,,,,,
1023,978,21,11,,,,,,,,
1024,979,18,11,,,,,,,,
1025,980,22,11,,,,,,,,
1026,981,26,11,,,,,,,,
1027,982,18,11,,,,,,,,
1028,983,25,11,,,,,,,,
1029,984,18,11,,,,,,,,
1030,985,24,11,,,,,,,,
1031,986,18,11,,,,,,,,
1032,987,27,11,,,,,,,,
1033,988,19,11,,,,,,,,
1034,989,24,11,,,,,,,,
1035,990,27,11,,,,,,,,
1036,991,21,11,,,,,,,,
1037,992,20,11,,,,,,,,
1038,993,22,11,,,,,,,,
1039,994,23,11,,,,,,,,
1040,995,22,11,,,,,,,,
1041,996,24,11,,,,,,,,
1042,997,24,11,,,,,,,,
1043,998,22,11,,,,,,,,
1044,999,20,11,,,,,,,,
1045,1000,27,11,,,,,,,,
