,n,8,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
675,590,34,40,,,,,,,,,,,,
676,591,68,54,,,,,,,,,,,,
677,592,35,50,,,,,,,,,,,,
678,593,41,45,,,,,,,,,,,,
679,594,57,40,,,,,,,,,,,,
680,595,48,60,,,,,,,,,,,,
681,596,66,48,,,,,,,,,,,,
682,597,34,63,,,,,,,,,,,,
683,598,45,47,,,,,,,,,,,,
684,599,41,51,,,,,,,,,,,,
685,600,30,60,,,,,,,,,,,,
686,601,46,60,,,,,,,,,,,,
687,602,52,58,,,,,,,,,,,,
688,603,42,61,,,,,,,,,,,,
689,604,65,59,,,,,,,,,,,,
690,605,55,44,,,,,,,,,,,,
691,606,35,56,,,,,,,,,,,,
692,607,48,48,,,,,,,,,,,,
693,608,65,59,,,,,,,,,,,,
694,609,56,42,,,,,,,,,,,,
695,610,69,62,,,,,,,,,,,,
696,611,32,58,,,,,,,,,,,,
697,612,38,46,,,,,,,,,,,,
698,613,51,60,,,,,,,,,,,,
699,614,41,46,,,,,,,,,,,,
700,615,73,57,,,,,,,,,,,,
701,616,45,39,,,,,,,,,,,,
702,617,42,44,,,,,,,,,,,,
703,618,60,63,,,,,,,,,,,,
704,619,35,47,,,,,,,,,,,,
705,620,38,47,,,,,,,,,,,,
706,621,51,58,,,,,,,,,,,,
707,622,53,41,,,,,,,,,,,,
708,623,62,41,,,,,,,,,,,,
709,624,74,56,,,,,,,,,,,,
710,625,37,51,,,,,,,,,,,,
711,626,64,39,,,,,,,,,,,,
712,627,57,40,,,,,,,,,,,,
713,628,65,53,,,,,,,,,,,,
714,629,59,43,,,,,,,,,,,,
715,630,42,49,,,,,,,,,,,,
716,631,58,50,,,,,,,,,,,,
717,632,68,59,,,,,,,,,,,,
718,633,71,39,,,,,,,,,,,,
719,634,48,42,,,,,,,,,,,,
720,635,62,59,,,,,,,,,,,,
721,636,61,43,,,,,,,,,,,,
722,637,74,51,,,,,,,,,,,,
723,638,49,45,,,,,,,,,,,,
724,639,40,39,,,,,,,,,,,,
725,640,56,47,,,,,,,,,,,,
726,641,68,52,,,,,,,,,,,,
727,642,34,49,,,,,,,,,,,,
728,643,74,45,,,,,,,,,,,,
729,644,49,42,,,,,,,,,,,,
730,645,49,40,,,,,,,,,,,,
731,646,43,62,,,,,,,,,,,,
732,647,33,57,,,,,,,,,,,,
733,648,61,38,,,,,,,,,,,,
734,649,72,56,,,,,,,,,,,,
735,650,39,54,,,,,,,,,,,,
736,651,61,59,,,,,,,,,,,,
737,652,74,47,,,,,,,,,,,,
738,653,67,52,,,,,,,,,,,,
739,654,32,40,,,,,,,,,,,,
740,655,59,51,,,,,,,,,,,,
741,656,44,53,,,,,,,,,,,,
742,657,56,61,,,,,,,,,,,,
743,658,55,40,,,,,,,,,,,,
744,659,45,49,,,,,,,,,,,,
745,660,66,54,,,,,,,,,,,,
746,661,57,44,,,,,,,,,,,,
747,662,62,54,,,,,,,,,,,,
748,663,52,57,,,,,,,,,,,,
749,664,34,44,,,,,,,,,,,,
750,665,66,49,,,,,,,,,,,,
751,666,44,51,,,,,,,,,,,,
752,667,66,62,,,,,,,,,,,,
753,668,59,39,,,,,,,,,,,,
754,669,55,57,,,,,,,,,,,,
755,670,56,49,,,,,,,,,,,,
756,671,37,46,,,,,,,,,,,,
757,672,52,62,,,,,,,,,,,,
758,673,63,56,,,,,,,,,,,,
759,674,44,42,,,,,,,,,,,,
760,675,37,53,,,,,,,,,,,,
761,676,58,51,,,,,,,,,,,,
762,677,70,53,,,,,,,,,,,,
763,678,30,50,,,,,,,,,,,,
764,679,32,46,,,,,,,,,,,,
765,680,69,40,,,,,,,,,,,,
766,681,48,60,,,,,,,,,,,,
767,682,42,43,,,,,,,,,,,,
768,683,36,59,,,,,,,,,,,,
769,684,65,55,,,,,,,,,,,,
770,685,40,51,,,,,,,,,,,,
771,686,52,54,,,,,,,,,,,,
772,687,67,47,,,,,,,,,,,,
773,688,49,45,,,,,,,,,,,,
774,689,62,59,,,,,,,,,,,,
775,690,70,58,,,,,,,,,,,,
776,691,48,62,,,,,,,,,,,,
777,692,31,43,,,,,,,,,,,,
778,693,65,59,,,,,,,,,,,,
779,694,58,44,,,,,,,,,,,,
780,695,71,43,,,,,,,,,,,,
781,696,74,44,,,,,,,,,,,,
782,697,68,51,,,,,,,,,,,,
783,698,30,46,,,,,,,,,,,,
784,699,30,45,,,,,,,,,,,,
785,700,63,62,,,,,,,,,,,,
786,701,70,55,,,,,,,,,,,,
787,702,71,55,,,,,,,,,,,,
788,703,33,38,,,,,,,,,,,,
789,704,59,51,,,,,,,,,,,,
790,705,35,56,,,,,,,,,,,,
791,706,63,44,,,,,,,,,,,,
792,707,49,39,,,,,,,,,,,,
793,708,59,50,,,,,,,,,,,,
794,709,66,40,,,,,,,,,,,,
795,710,48,46,,,,,,,,,,,,
796,711,36,52,,,,,,,,,,,,
797,712,62,39,,,,,,,,,,,,
798,713,53,45,,,,,,,,,,,,
799,714,64,46,,,,,,,,,,,,
800,715,45,41,,,,,,,,,,,,
801,716,41,49,,,,,,,,,,,,
802,717,31,63,,,,,,,,,,,,
803,718,70,57,,,,,,,,,,,,
804,719,30,47,,,,,,,,,,,,
805,720,33,57,,,,,,,,,,,,
806,721,36,41,,,,,,,,,,,,
807,722,33,43,,,,,,,,,,,,
808,723,49,56,,,,,,,,,,,,
809,724,65,58,,,,,,,,,,,,
810,725,67,52,,,,,,,,,,,,
811,726,53,62,,,,,,,,,,,,
812,727,68,49,,,,,,,,,,,,
813,728,64,47,,,,,,,,,,,,
814,729,72,60,,,,,,,,,,,,
815,730,35,59,,,,,,,,,,,,
816,731,40,46,,,,,,,,,,,,
817,732,36,38,,,,,,,,,,,,
818,733,49,46,,,,,,,,,,,,
819,734,38,50,,,,,,,,,,,,
820,735,37,62,,,,,,,,,,,,
821,736,49,49,,,,,,,,,,,,
822,737,74,55,,,,,,,,,,,,
823,738,36,38,,,,,,,,,,,,
824,739,50,52,,,,,,,,,,,,
825,740,56,58,,,,,,,,,,,,
826,741,51,63,,,,,,,,,,,,
827,742,51,58,,,,,,,,,,,,
828,743,56,46,,,,,,,,,,,,
829,744,54,54,,,,,,,,,,,,
830,745,38,52,,,,,,,,,,,,
831,746,65,41,,,,,,,,,,,,
832,747,39,45,,,,,,,,,,,,
833,748,52,59,,,,,,,,,,,,
834,749,73,39,,,,,,,,,,,,
835,750,63,41,,,,,,,,,,,,
836,751,52,46,,,,,,,,,,,,
837,752,56,61,,,,,,,,,,,,
838,753,34,40,,,,,,,,,,,,
839,754,73,43,,,,,,,,,,,,
840,755,40,57,,,,,,,,,,,,
841,756,69,48,,,,,,,,,,,,
842,757,42,46,,,,,,,,,,,,
843,758,44,44,,,,,,,,,,,,
844,759,68,47,,,,,,,,,,,,
845,760,48,41,,,,,,,,,,,,
846,761,64,53,,,,,,,,,,,,
847,762,42,54,,,,,,,,,,,,
848,763,35,45,,,,,,,,,,,,
849,764,38,56,,,,,,,,,,,,
850,765,36,47,,,,,,,,,,,,
851,766,31,48,,,,,,,,,,,,
852,767,65,50,,,,,,,,,,,,
853,768,42,42,,,,,,,,,,,,
854,769,47,52,,,,,,,,,,,,
855,770,59,51,,,,,,,,,,,,
856,771,44,47,,,,,,,,,,,,
857,772,45,49,,,,,,,,,,,,
858,773,59,48,,,,,,,,,,,,
859,774,68,61,,,,,,,,,,,,
860,775,72,44,,,,,,,,,,,,
861,776,73,53,,,,,,,,,,,,
862,777,59,53,,,,,,,,,,,,
863,778,45,61,,,,,,,,,,,,
864,779,30,62,,,,,,,,,,,,
865,780,64,59,,,,,,,,,,,,
866,781,69,45,,,,,,,,,,,,
867,782,30,61,,,,,,,,,,,,
868,783,60,50,,,,,,,,,,,,
869,784,56,59,,,,,,,,,,,,
870,785,31,42,,,,,,,,,,,,
871,786,69,45,,,,,,,,,,,,
872,787,61,61,,,,,,,,,,,,
873,788,65,48,,,,,,,,,,,,
874,789,39,59,,,,,,,,,,,,
875,790,74,57,,,,,,,,,,,,
876,791,49,46,,,,,,,,,,,,
877,792,63,61,,,,,,,,,,,,
878,793,46,49,,,,,,,,,,,,
879,794,62,43,,,,,,,,,,,,
880,795,33,47,,,,,,,,,,,,
881,796,35,49,,,,,,,,,,,,
882,797,66,59,,,,,,,,,,,,
883,798,57,39,,,,,,,,,,,,
884,799,44,50,,,,,,,,,,,,
885,800,64,42,,,,,,,,,,,,
886,801,64,38,,,,,,,,,,,,
887,802,67,57,,,,,,,,,,,,
888,803,45,55,,,,,,,,,,,,
889,804,70,57,,,,,,,,,,,,
890,805,65,63,,,,,,,,,,,,
891,806,60,43,,,,,,,,,,,,
892,807,73,38,,,,,,,,,,,,
893,808,47,52,,,,,,,,,,,,
894,809,52,40,,,,,,,,,,,,
895,810,52,44,,,,,,,,,,,,
896,811,64,48,,,,,,,,,,,,
897,812,62,55,,,,,,,,,,,,
898,813,30,49,,,,,,,,,,,,
899,814,50,61,,,,,,,,,,,,
900,815,42,57,,,,,,,,,,,,
901,816,31,57,,,,,,,,,,,,
902,817,31,59,,,,,,,,,,,,
903,818,74,48,,,,,,,,,,,,
904,819,50,63,,,,,,,,,,,,
905,820,54,56,,,,,,,,,,,,
906,821,54,63,,,,,,,,,,,,
907,822,46,41,,,,,,,,,,,,
908,823,60,62,,,,,,,,,,,,
909,824,49,58,,,,,,,,,,,,
910,825,48,39,,,,,,,,,,,,
911,826,54,43,,,,,,,,,,,,
912,827,72,51,,,,,,,,,,,,
913,828,46,47,,,,,,,,,,,,
914,829,42,42,,,,,,,,,,,,
915,830,62,61,,,,,,,,,,,,
916,831,38,38,,,,,,,,,,,,
917,832,49,39,,,,,,,,,,,,
918,833,70,62,,,,,,,,,,,,
919,834,35,41,,,,,,,,,,,,
920,835,30,63,,,,,,,,,,,,
921,836,33,51,,,,,,,,,,,,
922,837,54,58,,,,,,,,,,,,
923,838,60,57,,,,,,,,,,,,
924,839,30,53,,,,,,,,,,,,
925,840,74,40,,,,,,,,,,,,
926,841,74,55,,,,,,,,,,,,
927,842,50,44,,,,,,,,,,,,
928,843,37,59,,,,,,,,,,,,
929,844,66,51,,,,,,,,,,,,
930,845,49,54,,,,,,,,,,,,
931,846,33,45,,,,,,,,,,,,
932,847,40,54,,,,,,,,,,,,
933,848,52,51,,,,,,,,,,,,
934,849,54,46,,,,,,,,,,,,
935,850,39,57,,,,,,,,,,,,
936,851,65,46,,,,,,,,,,,,
937,852,63,49,,,,,,,,,,,,
938,853,72,38,,,,,,,,,,,,
939,854,59,41,,,,,,,,,,,,
940,855,67,54,,,,,,,,,,,,
941,856,44,56,,,,,,,,,,,,
942,857,37,54,,,,,,,,,,,,
943,858,71,51,,,,,,,,,,,,
944,859,54,43,,,,,,,,,,,,
945,860,69,39,,,,,,,,,,,,
946,861,35,53,,,,,,,,,,,,
947,862,61,48,,,,,,,,,,,,
948,863,69,58,,,,,,,,,,,,
949,864,41,61,,,,,,,,,,,,
950,865,42,42,,,,,,,,,,,,
951,866,38,56,,,,,,,,,,,,
952,867,45,44,,,,,,,,,,,,
953,868,42,55,,,,,,,,,,,,
954,869,71,38,,,,,,,,,,,,
955,870,42,42,,,,,,,,,,,,
956,871,37,55,,,,,,,,,,,,
957,872,61,59,,,,,,,,,,,,
958,873,41,48,,,,,,,,,,,,
959,874,33,53,,,,,,,,,,,,
960,875,61,63,,,,,,,,,,,,
961,876,74,47,,,,,,,,,,,,
962,877,49,42,,,,,,,,,,,,
963,878,57,42,,,,,,,,,,,,
964,879,56,46,,,,,,,,,,,,
965,880,53,41,,,,,,,,,,,,
966,881,63,57,,,,,,,,,,,,
967,882,68,55,,,,,,,,,,,,
968,883,47,54,,,,,,,,,,,,
969,884,45,62,,,,,,,,,,,,
970,885,45,44,,,,,,,,,,,,
971,886,56,51,,,,,,,,,,,,
972,887,70,56,,,,,,,,,,,,
973,888,69,50,,,,,,,,,,,,
974,889,71,61,,,,,,,,,,,,
975,890,35,51,,,,,,,,,,,,
976,891,60,55,,,,,,,,,,,,
977,892,38,45,,,,,,,,,,,,
978,893,37,60,,,,,,,,,,,,
979,894,41,42,,,,,,,,,,,,
980,895,57,40,,,,,,,,,,,,
981,896,32,53,,,,,,,,,,,,
982,897,51,41,,,,,,,,,,,,
983,898,47,49,,,,,,,,,,,,
984,899,66,38,,,,,,,,,,,,
985,900,47,54,,,,,,,,,,,,
986,901,30,42,,,,,,,,,,,,
987,902,40,49,,,,,,,,,,,,
988,903,47,50,,,,,,,,,,,,
989,904,50,56,,,,,,,,,,,,
990,905,42,41,,,,,,,,,,,,
991,906,41,56,,,,,,,,,,,,
992,907,38,38,,,,,,,,,,,,
993,908,49,40,,,,,,,,,,,,
994,909,53,52,,,,,,,,,,,,
995,910,51,52,,,,,,,,,,,,
996,911,46,42,,,,,,,,,,,,
997,912,43,44,,,,,,,,,,,,
998,913,37,38,,,,,,,,,,,,
999,914,29,57,,,,,,,,,,,,
1000,915,43,49,,,,,,,,,,,,
1001,916,59,61,,,,,,,,,,,,
1002,917,50,50,,,,,,,,,,,,
1003,918,50,52,,,,,,,,,,,,
1004,919,48,57,,,,,,,,,,,,
1005,920,70,56,,,,,,,,,,,,
1006,921,46,52,,,,,,,,,,,,
1007,922,69,50,,,,,,,,,,,,
1008,923,67,47,,,,,,,,,,,,
1009,924,46,49,,,,,,,,,,,,
1010,925,61,46,,,,,,,,,,,,
1011,926,70,44,,,,,,,,,,,,
1012,927,53,60,,,,,,,,,,,,
1013,928,41,60,,,,,,,,,,,,
1014,929,67,38,,,,,,,,,,,,
1015,930,41,48,,,,,,,,,,,,
1016,931,49,56,,,,,,,,,,,,
1017,932,46,60,,,,,,,,,,,,
1018,933,50,47,,,,,,,,,,,,
1019,934,40,56,,,,,,,,,,,,
1020,935,55,61,,,,,,,,,,,,
1021,936,60,58,,,,,,,,,,,,
1022,937,58,58,,,,,,,,,,,,
1023,938,36,59,,,,,,,,,,,,
1024,939,42,59,,,,,,,,,,,,
1025,940,47,59,,,,,,,,,,,,
1026,941,57,52,,,,,,,,,,,,
1027,942,30,38,,,,,,,,,,,,
1028,943,53,48,,,,,,,,,,,,
1029,944,45,53,,,,,,,,,,,,
1030,945,39,53,,,,,,,,,,,,
1031,946,61,48,,,,,,,,,,,,
1032,947,51,51,,,,,,,,,,,,
1033,948,40,55,,,,,,,,,,,,
1034,949,36,38,,,,,,,,,,,,
1035,950,30,50,,,,,,,,,,,,
1036,951,33,55,,,,,,,,,,,,
1037,952,69,58,,,,,,,,,,,,
1038,953,58,41,,,,,,,,,,,,
1039,954,57,57,,,,,,,,,,,,
1040,955,61,49,,,,,,,,,,,,
1041,956,54,38,,,,,,,,,,,,
1042,957,56,49,,,,,,,,,,,,
1043,958,64,61,,,,,,,,,,,,
1044,959,60,47,,,,,,,,,,,,
1045,960,44,39,,,,,,,,,,,,
1046,961,30,54,,,,,,,,,,,,
1047,962,50,63,,,,,,,,,,,,
1048,963,38,44,,,,,,,,,,,,
1049,964,41,41,,,,,,,,,,,,
1050,965,53,51,,,,,,,,,,,,
1051,966,58,45,,,,,,,,,,,,
1052,967,65,62,,,,,,,,,,,,
1053,968,62,62,,,,,,,,,,,,
1054,969,59,44,,,,,,,,,,,,
1055,970,46,48,,,,,,,,,,,,
1056,971,65,53,,,,,,,,,,,,
1057,972,71,58,,,,,,,,,,,,
1058,973,30,56,,,,,,,,,,,,
1059,974,66,39,,,,,,,,,,,,
1060,975,62,47,,,,,,,,,,,,
1061,976,73,58,,,,,,,,,,,,
1062,977,60,63,,,,,,,,,,,,
1063,978,48,50,,,,,,,,,,,,
1064,979,38,62,,,,,,,,,,,,
1065,980,55,47,,,,,,,,,,,,
1066,981,68,50,,,,,,,,,,,,
1067,982,38,43,,,,,,,,,,,,
1068,983,66,45,,,,,,,,,,,,
1069,984,38,55,,,,,,,,,,,,
1070,985,61,60,,,,,,,,,,,,
1071,986,39,48,,,,,,,,,,,,
1072,987,74,62,,,,,,,,,,,,
1073,988,41,49,,,,,,,,,,,,
1074,989,62,56,,,,,,,,,,,,
1075,990,71,51,,,,,,,,,,,,
1076,991,49,43,,,,,,,,,,,,
1077,992,47,42,,,,,,,,,,,,
1078,993,53,59,,,,,,,,,,,,
1079,994,56,59,,,,,,,,,,,,
1080,995,52,44,,,,,,,,,,,,
1081,996,61,57,,,,,,,,,,,,
1082,997,60,38,,,,,,,,,,,,
1083,998,53,45,,,,,,,,,,,,
1084,999,46,56,,,,,,,,,,,,
1085,1000,73,57,,,,,,,,,,,,
