,n,15,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
531,416,38,115,,,,,,,,,,,,,,,,,
532,417,77,108,,,,,,,,,,,,,,,,,
533,418,59,104,,,,,,,,,,,,,,,,,
534,419,77,77,,,,,,,,,,,,,,,,,
535,420,35,78,,,,,,,,,,,,,,,,,
536,421,56,102,,,,,,,,,,,,,,,,,
537,422,52,107,,,,,,,,,,,,,,,,,
538,423,67,97,,,,,,,,,,,,,,,,,
539,424,37,116,,,,,,,,,,,,,,,,,
540,425,48,88,,,,,,,,,,,,,,,,,
541,426,66,129,,,,,,,,,,,,,,,,,
542,427,71,121,,,,,,,,,,,,,,,,,
543,428,56,76,,,,,,,,,,,,,,,,,
544,429,72,68,,,,,,,,,,,,,,,,,
545,430,65,84,,,,,,,,,,,,,,,,,
546,431,53,75,,,,,,,,,,,,,,,,,
547,432,48,102,,,,,,,,,,,,,,,,,
548,433,61,120,,,,,,,,,,,,,,,,,
549,434,60,82,,,,,,,,,,,,,,,,,
550,435,85,76,,,,,,,,,,,,,,,,,
551,436,43,74,,,,,,,,,,,,,,,,,
552,437,56,81,,,,,,,,,,,,,,,,,
553,438,62,67,,,,,,,,,,,,,,,,,
554,439,66,118,,,,,,,,,,,,,,,,,
555,440,80,98,,,,,,,,,,,,,,,,,
556,441,64,80,,,,,,,,,,,,,,,,,
557,442,48,122,,,,,,,,,,,,,,,,,
558,443,85,72,,,,,,,,,,,,,,,,,
559,444,34,127,,,,,,,,,,,,,,,,,
560,445,43,84,,,,,,,,,,,,,,,,,
561,446,79,113,,,,,,,,,,,,,,,,,
562,447,64,114,,,,,,,,,,,,,,,,,
563,448,77,80,,,,,,,,,,,,,,,,,
564,449,46,115,,,,,,,,,,,,,,,,,
565,450,37,116,,,,,,,,,,,,,,,,,
566,451,85,117,,,,,,,,,,,,,,,,,
567,452,76,69,,,,,,,,,,,,,,,,,
568,453,40,93,,,,,,,,,,,,,,,,,
569,454,61,92,,,,,,,,,,,,,,,,,
570,455,48,88,,,,,,,,,,,,,,,,,
571,456,62,124,,,,,,,,,,,,,,,,,
572,457,41,68,,,,,,,,,,,,,,,,,
573,458,71,72,,,,,,,,,,,,,,,,,
574,459,80,91,,,,,,,,,,,,,,,,,
575,460,65,90,,,,,,,,,,,,,,,,,
576,461,75,101,,,,,,,,,,,,,,,,,
577,462,34,106,,,,,,,,,,,,,,,,,
578,463,49,93,,,,,,,,,,,,,,,,,
579,464,63,108,,,,,,,,,,,,,,,,,
580,465,56,83,,,,,,,,,,,,,,,,,
581,466,75,119,,,,,,,,,,,,,,,,,
582,467,71,69,,,,,,,,,,,,,,,,,
583,468,62,114,,,,,,,,,,,,,,,,,
584,469,55,76,,,,,,,,,,,,,,,,,
585,470,71,97,,,,,,,,,,,,,,,,,
586,471,63,105,,,,,,,,,,,,,,,,,
587,472,67,119,,,,,,,,,,,,,,,,,
588,473,73,127,,,,,,,,,,,,,,,,,
589,474,62,98,,,,,,,,,,,,,,,,,
590,475,33,109,,,,,,,,,,,,,,,,,
591,476,52,120,,,,,,,,,,,,,,,,,
592,477,40,110,,,,,,,,,,,,,,,,,
593,478,86,90,,,,,,,,,,,,,,,,,
594,479,73,74,,,,,,,,,,,,,,,,,
595,480,74,110,,,,,,,,,,,,,,,,,
596,481,80,121,,,,,,,,,,,,,,,,,
597,482,86,63,,,,,,,,,,,,,,,,,
598,483,64,111,,,,,,,,,,,,,,,,,
599,484,42,69,,,,,,,,,,,,,,,,,
600,485,60,126,,,,,,,,,,,,,,,,,
601,486,70,108,,,,,,,,,,,,,,,,,
602,487,70,70,,,,,,,,,,,,,,,,,
603,488,76,73,,,,,,,,,,,,,,,,,
604,489,82,77,,,,,,,,,,,,,,,,,
605,490,81,88,,,,,,,,,,,,,,,,,
606,491,81,66,,,,,,,,,,,,,,,,,
607,492,66,113,,,,,,,,,,,,,,,,,
608,493,82,125,,,,,,,,,,,,,,,,,
609,494,69,63,,,,,,,,,,,,,,,,,
610,495,36,73,,,,,,,,,,,,,,,,,
611,496,32,81,,,,,,,,,,,,,,,,,
612,497,55,63,,,,,,,,,,,,,,,,,
613,498,66,110,,,,,,,,,,,,,,,,,
614,499,67,106,,,,,,,,,,,,,,,,,
615,500,45,65,,,,,,,,,,,,,,,,,
616,501,73,93,,,,,,,,,,,,,,,,,
617,502,31,69,,,,,,,,,,,,,,,,,
618,503,86,109,,,,,,,,,,,,,,,,,
619,504,39,66,,,,,,,,,,,,,,,,,
620,505,81,119,,,,,,,,,,,,,,,,,
621,506,58,99,,,,,,,,,,,,,,,,,
622,507,46,89,,,,,,,,,,,,,,,,,
623,508,75,118,,,,,,,,,,,,,,,,,
624,509,44,77,,,,,,,,,,,,,,,,,
625,510,35,106,,,,,,,,,,,,,,,,,
626,511,32,76,,,,,,,,,,,,,,,,,
627,512,31,88,,,,,,,,,,,,,,,,,
628,513,83,91,,,,,,,,,,,,,,,,,
629,514,45,108,,,,,,,,,,,,,,,,,
630,515,57,69,,,,,,,,,,,,,,,,,
631,516,59,80,,,,,,,,,,,,,,,,,
632,517,84,120,,,,,,,,,,,,,,,,,
633,518,65,92,,,,,,,,,,,,,,,,,
634,519,33,99,,,,,,,,,,,,,,,,,
635,520,74,78,,,,,,,,,,,,,,,,,
636,521,74,104,,,,,,,,,,,,,,,,,
637,522,37,80,,,,,,,,,,,,,,,,,
638,523,67,95,,,,,,,,,,,,,,,,,
639,524,31,65,,,,,,,,,,,,,,,,,
640,525,42,117,,,,,,,,,,,,,,,,,
641,526,57,91,,,,,,,,,,,,,,,,,
642,527,63,103,,,,,,,,,,,,,,,,,
643,528,31,100,,,,,,,,,,,,,,,,,
644,529,56,105,,,,,,,,,,,,,,,,,
645,530,40,100,,,,,,,,,,,,,,,,,
646,531,55,94,,,,,,,,,,,,,,,,,
647,532,64,116,,,,,,,,,,,,,,,,,
648,533,49,78,,,,,,,,,,,,,,,,,
649,534,63,90,,,,,,,,,,,,,,,,,
650,535,74,86,,,,,,,,,,,,,,,,,
651,536,75,109,,,,,,,,,,,,,,,,,
652,537,56,119,,,,,,,,,,,,,,,,,
653,538,80,90,,,,,,,,,,,,,,,,,
654,539,35,113,,,,,,,,,,,,,,,,,
655,540,71,93,,,,,,,,,,,,,,,,,
656,541,54,77,,,,,,,,,,,,,,,,,
657,542,57,107,,,,,,,,,,,,,,,,,
658,543,65,68,,,,,,,,,,,,,,,,,
659,544,68,87,,,,,,,,,,,,,,,,,
660,545,78,67,,,,,,,,,,,,,,,,,
661,546,86,91,,,,,,,,,,,,,,,,,
662,547,52,77,,,,,,,,,,,,,,,,,
663,548,75,83,,,,,,,,,,,,,,,,,
664,549,32,84,,,,,,,,,,,,,,,,,
665,550,83,91,,,,,,,,,,,,,,,,,
666,551,81,102,,,,,,,,,,,,,,,,,
667,552,45,120,,,,,,,,,,,,,,,,,
668,553,32,115,,,,,,,,,,,,,,,,,
669,554,85,112,,,,,,,,,,,,,,,,,
670,555,71,102,,,,,,,,,,,,,,,,,
671,556,57,110,,,,,,,,,,,,,,,,,
672,557,82,110,,,,,,,,,,,,,,,,,
673,558,38,78,,,,,,,,,,,,,,,,,
674,559,31,125,,,,,,,,,,,,,,,,,
675,560,40,78,,,,,,,,,,,,,,,,,
676,561,61,77,,,,,,,,,,,,,,,,,
677,562,62,110,,,,,,,,,,,,,,,,,
678,563,51,87,,,,,,,,,,,,,,,,,
679,564,48,78,,,,,,,,,,,,,,,,,
680,565,34,101,,,,,,,,,,,,,,,,,
681,566,52,114,,,,,,,,,,,,,,,,,
682,567,76,82,,,,,,,,,,,,,,,,,
683,568,61,118,,,,,,,,,,,,,,,,,
684,569,84,104,,,,,,,,,,,,,,,,,
685,570,66,119,,,,,,,,,,,,,,,,,
686,571,37,126,,,,,,,,,,,,,,,,,
687,572,67,79,,,,,,,,,,,,,,,,,
688,573,63,82,,,,,,,,,,,,,,,,,
689,574,59,107,,,,,,,,,,,,,,,,,
690,575,35,100,,,,,,,,,,,,,,,,,
691,576,47,69,,,,,,,,,,,,,,,,,
692,577,39,109,,,,,,,,,,,,,,,,,
693,578,79,109,,,,,,,,,,,,,,,,,
694,579,31,99,,,,,,,,,,,,,,,,,
695,580,58,106,,,,,,,,,,,,,,,,,
696,581,57,113,,,,,,,,,,,,,,,,,
697,582,69,72,,,,,,,,,,,,,,,,,
698,583,43,110,,,,,,,,,,,,,,,,,
699,584,81,104,,,,,,,,,,,,,,,,,
700,585,40,83,,,,,,,,,,,,,,,,,
701,586,45,88,,,,,,,,,,,,,,,,,
702,587,47,85,,,,,,,,,,,,,,,,,
703,588,37,103,,,,,,,,,,,,,,,,,
704,589,62,84,,,,,,,,,,,,,,,,,
705,590,38,68,,,,,,,,,,,,,,,,,
706,591,79,105,,,,,,,,,,,,,,,,,
707,592,39,96,,,,,,,,,,,,,,,,,
708,593,46,82,,,,,,,,,,,,,,,,,
709,594,65,70,,,,,,,,,,,,,,,,,
710,595,54,119,,,,,,,,,,,,,,,,,
711,596,76,90,,,,,,,,,,,,,,,,,
712,597,37,128,,,,,,,,,,,,,,,,,
713,598,51,87,,,,,,,,,,,,,,,,,
714,599,45,96,,,,,,,,,,,,,,,,,
715,600,33,122,,,,,,,,,,,,,,,,,
716,601,52,122,,,,,,,,,,,,,,,,,
717,602,59,114,,,,,,,,,,,,,,,,,
718,603,47,124,,,,,,,,,,,,,,,,,
719,604,75,118,,,,,,,,,,,,,,,,,
720,605,63,80,,,,,,,,,,,,,,,,,
721,606,38,109,,,,,,,,,,,,,,,,,
722,607,54,90,,,,,,,,,,,,,,,,,
723,608,75,118,,,,,,,,,,,,,,,,,
724,609,64,75,,,,,,,,,,,,,,,,,
725,610,79,125,,,,,,,,,,,,,,,,,
726,611,35,115,,,,,,,,,,,,,,,,,
727,612,42,83,,,,,,,,,,,,,,,,,
728,613,58,120,,,,,,,,,,,,,,,,,
729,614,45,84,,,,,,,,,,,,,,,,,
730,615,84,113,,,,,,,,,,,,,,,,,
731,616,50,67,,,,,,,,,,,,,,,,,
732,617,46,79,,,,,,,,,,,,,,,,,
733,618,69,128,,,,,,,,,,,,,,,,,
734,619,38,88,,,,,,,,,,,,,,,,,
735,620,42,86,,,,,,,,,,,,,,,,,
736,621,58,116,,,,,,,,,,,,,,,,,
737,622,60,73,,,,,,,,,,,,,,,,,
738,623,71,70,,,,,,,,,,,,,,,,,
739,624,86,110,,,,,,,,,,,,,,,,,
740,625,41,98,,,,,,,,,,,,,,,,,
741,626,73,68,,,,,,,,,,,,,,,,,
742,627,66,70,,,,,,,,,,,,,,,,,
743,628,75,103,,,,,,,,,,,,,,,,,
744,629,68,75,,,,,,,,,,,,,,,,,
745,630,47,92,,,,,,,,,,,,,,,,,
746,631,67,95,,,,,,,,,,,,,,,,,
747,632,79,117,,,,,,,,,,,,,,,,,
748,633,82,67,,,,,,,,,,,,,,,,,
749,634,54,75,,,,,,,,,,,,,,,,,
750,635,71,117,,,,,,,,,,,,,,,,,
751,636,70,77,,,,,,,,,,,,,,,,,
752,637,86,97,,,,,,,,,,,,,,,,,
753,638,55,82,,,,,,,,,,,,,,,,,
754,639,45,67,,,,,,,,,,,,,,,,,
755,640,64,87,,,,,,,,,,,,,,,,,
756,641,79,100,,,,,,,,,,,,,,,,,
757,642,37,91,,,,,,,,,,,,,,,,,
758,643,86,81,,,,,,,,,,,,,,,,,
759,644,55,74,,,,,,,,,,,,,,,,,
760,645,55,68,,,,,,,,,,,,,,,,,
761,646,48,126,,,,,,,,,,,,,,,,,
762,647,36,113,,,,,,,,,,,,,,,,,
763,648,70,63,,,,,,,,,,,,,,,,,
764,649,83,110,,,,,,,,,,,,,,,,,
765,650,44,106,,,,,,,,,,,,,,,,,
766,651,70,117,,,,,,,,,,,,,,,,,
767,652,85,88,,,,,,,,,,,,,,,,,
768,653,77,99,,,,,,,,,,,,,,,,,
769,654,35,70,,,,,,,,,,,,,,,,,
770,655,67,97,,,,,,,,,,,,,,,,,
771,656,50,103,,,,,,,,,,,,,,,,,
772,657,64,124,,,,,,,,,,,,,,,,,
773,658,63,69,,,,,,,,,,,,,,,,,
774,659,51,91,,,,,,,,,,,,,,,,,
775,660,77,105,,,,,,,,,,,,,,,,,
776,661,66,78,,,,,,,,,,,,,,,,,
777,662,72,105,,,,,,,,,,,,,,,,,
778,663,59,113,,,,,,,,,,,,,,,,,
779,664,38,78,,,,,,,,,,,,,,,,,
780,665,76,92,,,,,,,,,,,,,,,,,
781,666,50,99,,,,,,,,,,,,,,,,,
782,667,77,126,,,,,,,,,,,,,,,,,
783,668,68,66,,,,,,,,,,,,,,,,,
784,669,63,112,,,,,,,,,,,,,,,,,
785,670,64,92,,,,,,,,,,,,,,,,,
786,671,41,85,,,,,,,,,,,,,,,,,
787,672,60,125,,,,,,,,,,,,,,,,,
788,673,72,109,,,,,,,,,,,,,,,,,
789,674,50,74,,,,,,,,,,,,,,,,,
790,675,41,103,,,,,,,,,,,,,,,,,
791,676,67,97,,,,,,,,,,,,,,,,,
792,677,80,102,,,,,,,,,,,,,,,,,
793,678,32,94,,,,,,,,,,,,,,,,,
794,679,35,85,,,,,,,,,,,,,,,,,
795,680,80,68,,,,,,,,,,,,,,,,,
796,681,54,120,,,,,,,,,,,,,,,,,
797,682,47,77,,,,,,,,,,,,,,,,,
798,683,40,117,,,,,,,,,,,,,,,,,
799,684,75,107,,,,,,,,,,,,,,,,,
800,685,44,97,,,,,,,,,,,,,,,,,
801,686,59,104,,,,,,,,,,,,,,,,,
802,687,77,88,,,,,,,,,,,,,,,,,
803,688,56,83,,,,,,,,,,,,,,,,,
804,689,71,117,,,,,,,,,,,,,,,,,
805,690,81,116,,,,,,,,,,,,,,,,,
806,691,54,126,,,,,,,,,,,,,,,,,
807,692,33,76,,,,,,,,,,,,,,,,,
808,693,75,118,,,,,,,,,,,,,,,,,
809,694,67,78,,,,,,,,,,,,,,,,,
810,695,82,76,,,,,,,,,,,,,,,,,
811,696,86,78,,,,,,,,,,,,,,,,,
812,697,78,97,,,,,,,,,,,,,,,,,
813,698,32,85,,,,,,,,,,,,,,,,,
814,699,33,82,,,,,,,,,,,,,,,,,
815,700,73,125,,,,,,,,,,,,,,,,,
816,701,81,108,,,,,,,,,,,,,,,,,
817,702,82,108,,,,,,,,,,,,,,,,,
818,703,36,64,,,,,,,,,,,,,,,,,
819,704,68,97,,,,,,,,,,,,,,,,,
820,705,38,111,,,,,,,,,,,,,,,,,
821,706,72,80,,,,,,,,,,,,,,,,,
822,707,55,68,,,,,,,,,,,,,,,,,
823,708,68,94,,,,,,,,,,,,,,,,,
824,709,76,68,,,,,,,,,,,,,,,,,
825,710,55,85,,,,,,,,,,,,,,,,,
826,711,40,100,,,,,,,,,,,,,,,,,
827,712,72,66,,,,,,,,,,,,,,,,,
828,713,60,81,,,,,,,,,,,,,,,,,
829,714,73,85,,,,,,,,,,,,,,,,,
830,715,50,71,,,,,,,,,,,,,,,,,
831,716,45,91,,,,,,,,,,,,,,,,,
832,717,33,127,,,,,,,,,,,,,,,,,
833,718,81,112,,,,,,,,,,,,,,,,,
834,719,32,88,,,,,,,,,,,,,,,,,
835,720,36,114,,,,,,,,,,,,,,,,,
836,721,40,72,,,,,,,,,,,,,,,,,
837,722,36,76,,,,,,,,,,,,,,,,,
838,723,56,111,,,,,,,,,,,,,,,,,
839,724,75,115,,,,,,,,,,,,,,,,,
840,725,78,100,,,,,,,,,,,,,,,,,
841,726,60,126,,,,,,,,,,,,,,,,,
842,727,79,91,,,,,,,,,,,,,,,,,
843,728,74,86,,,,,,,,,,,,,,,,,
844,729,83,122,,,,,,,,,,,,,,,,,
845,730,39,118,,,,,,,,,,,,,,,,,
846,731,45,85,,,,,,,,,,,,,,,,,
847,732,39,64,,,,,,,,,,,,,,,,,
848,733,56,84,,,,,,,,,,,,,,,,,
849,734,42,95,,,,,,,,,,,,,,,,,
850,735,41,125,,,,,,,,,,,,,,,,,
851,736,55,92,,,,,,,,,,,,,,,,,
852,737,85,107,,,,,,,,,,,,,,,,,
853,738,40,64,,,,,,,,,,,,,,,,,
854,739,57,99,,,,,,,,,,,,,,,,,
855,740,64,116,,,,,,,,,,,,,,,,,
856,741,57,129,,,,,,,,,,,,,,,,,
857,742,58,115,,,,,,,,,,,,,,,,,
858,743,64,84,,,,,,,,,,,,,,,,,
859,744,62,104,,,,,,,,,,,,,,,,,
860,745,42,99,,,,,,,,,,,,,,,,,
861,746,75,72,,,,,,,,,,,,,,,,,
862,747,43,81,,,,,,,,,,,,,,,,,
863,748,59,117,,,,,,,,,,,,,,,,,
864,749,85,68,,,,,,,,,,,,,,,,,
865,750,72,71,,,,,,,,,,,,,,,,,
866,751,59,83,,,,,,,,,,,,,,,,,
867,752,64,124,,,,,,,,,,,,,,,,,
868,753,38,69,,,,,,,,,,,,,,,,,
869,754,85,76,,,,,,,,,,,,,,,,,
870,755,45,112,,,,,,,,,,,,,,,,,
871,756,80,90,,,,,,,,,,,,,,,,,
872,757,47,85,,,,,,,,,,,,,,,,,
873,758,50,80,,,,,,,,,,,,,,,,,
874,759,79,87,,,,,,,,,,,,,,,,,
875,760,54,72,,,,,,,,,,,,,,,,,
876,761,73,102,,,,,,,,,,,,,,,,,
877,762,46,105,,,,,,,,,,,,,,,,,
878,763,38,82,,,,,,,,,,,,,,,,,
879,764,42,109,,,,,,,,,,,,,,,,,
880,765,39,86,,,,,,,,,,,,,,,,,
881,766,33,89,,,,,,,,,,,,,,,,,
882,767,75,94,,,,,,,,,,,,,,,,,
883,768,47,74,,,,,,,,,,,,,,,,,
884,769,52,101,,,,,,,,,,,,,,,,,
885,770,68,96,,,,,,,,,,,,,,,,,
886,771,50,87,,,,,,,,,,,,,,,,,
887,772,51,93,,,,,,,,,,,,,,,,,
888,773,67,88,,,,,,,,,,,,,,,,,
889,774,78,122,,,,,,,,,,,,,,,,,
890,775,83,79,,,,,,,,,,,,,,,,,
891,776,84,103,,,,,,,,,,,,,,,,,
892,777,67,103,,,,,,,,,,,,,,,,,
893,778,51,124,,,,,,,,,,,,,,,,,
894,779,32,127,,,,,,,,,,,,,,,,,
895,780,74,119,,,,,,,,,,,,,,,,,
896,781,80,81,,,,,,,,,,,,,,,,,
897,782,32,123,,,,,,,,,,,,,,,,,
898,783,69,96,,,,,,,,,,,,,,,,,
899,784,65,118,,,,,,,,,,,,,,,,,
900,785,33,74,,,,,,,,,,,,,,,,,
901,786,80,81,,,,,,,,,,,,,,,,,
902,787,70,124,,,,,,,,,,,,,,,,,
903,788,75,89,,,,,,,,,,,,,,,,,
904,789,43,118,,,,,,,,,,,,,,,,,
905,790,86,113,,,,,,,,,,,,,,,,,
906,791,55,84,,,,,,,,,,,,,,,,,
907,792,73,124,,,,,,,,,,,,,,,,,
908,793,52,92,,,,,,,,,,,,,,,,,
909,794,72,75,,,,,,,,,,,,,,,,,
910,795,36,88,,,,,,,,,,,,,,,,,
911,796,39,91,,,,,,,,,,,,,,,,,
912,797,76,118,,,,,,,,,,,,,,,,,
913,798,65,67,,,,,,,,,,,,,,,,,
914,799,49,94,,,,,,,,,,,,,,,,,
915,800,74,73,,,,,,,,,,,,,,,,,
916,801,74,64,,,,,,,,,,,,,,,,,
917,802,78,114,,,,,,,,,,,,,,,,,
918,803,51,108,,,,,,,,,,,,,,,,,
919,804,81,112,,,,,,,,,,,,,,,,,
920,805,75,127,,,,,,,,,,,,,,,,,
921,806,69,76,,,,,,,,,,,,,,,,,
922,807,85,63,,,,,,,,,,,,,,,,,
923,808,53,101,,,,,,,,,,,,,,,,,
924,809,59,70,,,,,,,,,,,,,,,,,
925,810,59,79,,,,,,,,,,,,,,,,,
926,811,73,90,,,,,,,,,,,,,,,,,
927,812,71,107,,,,,,,,,,,,,,,,,
928,813,32,92,,,,,,,,,,,,,,,,,
929,814,57,122,,,,,,,,,,,,,,,,,
930,815,47,112,,,,,,,,,,,,,,,,,
931,816,34,113,,,,,,,,,,,,,,,,,
932,817,34,118,,,,,,,,,,,,,,,,,
933,818,85,90,,,,,,,,,,,,,,,,,
934,819,57,129,,,,,,,,,,,,,,,,,
935,820,62,110,,,,,,,,,,,,,,,,,
936,821,61,129,,,,,,,,,,,,,,,,,
937,822,52,72,,,,,,,,,,,,,,,,,
938,823,69,126,,,,,,,,,,,,,,,,,
939,824,56,116,,,,,,,,,,,,,,,,,
940,825,54,66,,,,,,,,,,,,,,,,,
941,826,61,77,,,,,,,,,,,,,,,,,
942,827,84,98,,,,,,,,,,,,,,,,,
943,828,52,87,,,,,,,,,,,,,,,,,
944,829,48,74,,,,,,,,,,,,,,,,,
945,830,72,124,,,,,,,,,,,,,,,,,
946,831,42,63,,,,,,,,,,,,,,,,,
947,832,55,67,,,,,,,,,,,,,,,,,
948,833,81,125,,,,,,,,,,,,,,,,,
949,834,39,72,,,,,,,,,,,,,,,,,
950,835,32,129,,,,,,,,,,,,,,,,,
951,836,36,98,,,,,,,,,,,,,,,,,
952,837,62,116,,,,,,,,,,,,,,,,,
953,838,69,114,,,,,,,,,,,,,,,,,
954,839,32,102,,,,,,,,,,,,,,,,,
955,840,86,68,,,,,,,,,,,,,,,,,
956,841,86,108,,,,,,,,,,,,,,,,,
957,842,56,79,,,,,,,,,,,,,,,,,
958,843,41,119,,,,,,,,,,,,,,,,,
959,844,76,98,,,,,,,,,,,,,,,,,
960,845,55,104,,,,,,,,,,,,,,,,,
961,846,36,82,,,,,,,,,,,,,,,,,
962,847,45,105,,,,,,,,,,,,,,,,,
963,848,59,98,,,,,,,,,,,,,,,,,
964,849,61,84,,,,,,,,,,,,,,,,,
965,850,44,112,,,,,,,,,,,,,,,,,
966,851,75,83,,,,,,,,,,,,,,,,,
967,852,73,91,,,,,,,,,,,,,,,,,
968,853,84,64,,,,,,,,,,,,,,,,,
969,854,68,72,,,,,,,,,,,,,,,,,
970,855,77,104,,,,,,,,,,,,,,,,,
971,856,49,110,,,,,,,,,,,,,,,,,
972,857,41,106,,,,,,,,,,,,,,,,,
973,858,83,97,,,,,,,,,,,,,,,,,
974,859,61,75,,,,,,,,,,,,,,,,,
975,860,80,66,,,,,,,,,,,,,,,,,
976,861,38,104,,,,,,,,,,,,,,,,,
977,862,70,91,,,,,,,,,,,,,,,,,
978,863,80,116,,,,,,,,,,,,,,,,,
979,864,46,124,,,,,,,,,,,,,,,,,
980,865,47,73,,,,,,,,,,,,,,,,,
981,866,43,110,,,,,,,,,,,,,,,,,
982,867,51,79,,,,,,,,,,,,,,,,,
983,868,47,108,,,,,,,,,,,,,,,,,
984,869,82,65,,,,,,,,,,,,,,,,,
985,870,47,73,,,,,,,,,,,,,,,,,
986,871,41,107,,,,,,,,,,,,,,,,,
987,872,70,117,,,,,,,,,,,,,,,,,
988,873,46,89,,,,,,,,,,,,,,,,,
989,874,36,103,,,,,,,,,,,,,,,,,
990,875,70,129,,,,,,,,,,,,,,,,,
991,876,86,87,,,,,,,,,,,,,,,,,
992,877,55,74,,,,,,,,,,,,,,,,,
993,878,65,75,,,,,,,,,,,,,,,,,
994,879,64,85,,,,,,,,,,,,,,,,,
995,880,61,72,,,,,,,,,,,,,,,,,
996,881,73,112,,,,,,,,,,,,,,,,,
997,882,78,107,,,,,,,,,,,,,,,,,
998,883,53,105,,,,,,,,,,,,,,,,,
999,884,50,126,,,,,,,,,,,,,,,,,
1000,885,50,80,,,,,,,,,,,,,,,,,
1001,886,64,97,,,,,,,,,,,,,,,,,
1002,887,80,111,,,,,,,,,,,,,,,,,
1003,888,80,94,,,,,,,,,,,,,,,,,
1004,889,82,122,,,,,,,,,,,,,,,,,
1005,890,38,96,,,,,,,,,,,,,,,,,
1006,891,69,107,,,,,,,,,,,,,,,,,
1007,892,42,83,,,,,,,,,,,,,,,,,
1008,893,40,120,,,,,,,,,,,,,,,,,
1009,894,45,75,,,,,,,,,,,,,,,,,
1010,895,66,70,,,,,,,,,,,,,,,,,
1011,896,34,102,,,,,,,,,,,,,,,,,
1012,897,58,73,,,,,,,,,,,,,,,,,
1013,898,53,92,,,,,,,,,,,,,,,,,
1014,899,76,64,,,,,,,,,,,,,,,,,
1015,900,54,106,,,,,,,,,,,,,,,,,
1016,901,32,73,,,,,,,,,,,,,,,,,
1017,902,44,93,,,,,,,,,,,,,,,,,
1018,903,53,94,,,,,,,,,,,,,,,,,
1019,904,57,110,,,,,,,,,,,,,,,,,
1020,905,47,72,,,,,,,,,,,,,,,,,
1021,906,45,111,,,,,,,,,,,,,,,,,
1022,907,42,65,,,,,,,,,,,,,,,,,
1023,908,56,69,,,,,,,,,,,,,,,,,
1024,909,60,99,,,,,,,,,,,,,,,,,
1025,910,58,99,,,,,,,,,,,,,,,,,
1026,911,51,74,,,,,,,,,,,,,,,,,
1027,912,49,79,,,,,,,,,,,,,,,,,
1028,913,41,63,,,,,,,,,,,,,,,,,
1029,914,31,112,,,,,,,,,,,,,,,,,
1030,915,49,92,,,,,,,,,,,,,,,,,
1031,916,68,122,,,,,,,,,,,,,,,,,
1032,917,57,96,,,,,,,,,,,,,,,,,
1033,918,57,99,,,,,,,,,,,,,,,,,
1034,919,54,113,,,,,,,,,,,,,,,,,
1035,920,81,110,,,,,,,,,,,,,,,,,
1036,921,52,100,,,,,,,,,,,,,,,,,
1037,922,80,95,,,,,,,,,,,,,,,,,
1038,923,78,86,,,,,,,,,,,,,,,,,
1039,924,52,93,,,,,,,,,,,,,,,,,
1040,925,70,83,,,,,,,,,,,,,,,,,
1041,926,81,80,,,,,,,,,,,,,,,,,
1042,927,60,120,,,,,,,,,,,,,,,,,
1043,928,46,120,,,,,,,,,,,,,,,,,
1044,929,77,63,,,,,,,,,,,,,,,,,
1045,930,46,89,,,,,,,,,,,,,,,,,
1046,931,56,111,,,,,,,,,,,,,,,,,
1047,932,52,120,,,,,,,,,,,,,,,,,
1048,933,57,88,,,,,,,,,,,,,,,,,
1049,934,44,109,,,,,,,,,,,,,,,,,
1050,935,62,124,,,,,,,,,,,,,,,,,
1051,936,68,114,,,,,,,,,,,,,,,,,
1052,937,66,115,,,,,,,,,,,,,,,,,
1053,938,40,117,,,,,,,,,,,,,,,,,
1054,939,47,118,,,,,,,,,,,,,,,,,
1055,940,53,118,,,,,,,,,,,,,,,,,
1056,941,65,100,,,,,,,,,,,,,,,,,
1057,942,33,63,,,,,,,,,,,,,,,,,
1058,943,60,90,,,,,,,,,,,,,,,,,
1059,944,50,104,,,,,,,,,,,,,,,,,
1060,945,43,103,,,,,,,,,,,,,,,,,
1061,946,70,90,,,,,,,,,,,,,,,,,
1062,947,58,97,,,,,,,,,,,,,,,,,
1063,948,45,107,,,,,,,,,,,,,,,,,
1064,949,40,64,,,,,,,,,,,,,,,,,
1065,950,32,93,,,,,,,,,,,,,,,,,
1066,951,36,109,,,,,,,,,,,,,,,,,
1067,952,80,115,,,,,,,,,,,,,,,,,
1068,953,66,72,,,,,,,,,,,,,,,,,
1069,954,65,113,,,,,,,,,,,,,,,,,
1070,955,70,93,,,,,,,,,,,,,,,,,
1071,956,62,63,,,,,,,,,,,,,,,,,
1072,957,64,92,,,,,,,,,,,,,,,,,
1073,958,74,123,,,,,,,,,,,,,,,,,
1074,959,69,87,,,,,,,,,,,,,,,,,
1075,960,49,66,,,,,,,,,,,,,,,,,
1076,961,32,105,,,,,,,,,,,,,,,,,
1077,962,57,127,,,,,,,,,,,,,,,,,
1078,963,42,80,,,,,,,,,,,,,,,,,
1079,964,46,71,,,,,,,,,,,,,,,,,
1080,965,61,96,,,,,,,,,,,,,,,,,
