,n,14,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
607,496,35,114,,,,,,,,,,,,,,
608,497,53,85,,,,,,,,,,,,,,
609,498,62,161,,,,,,,,,,,,,,
610,499,62,155,,,,,,,,,,,,,,
611,500,45,88,,,,,,,,,,,,,,
612,501,67,133,,,,,,,,,,,,,,
613,502,35,94,,,,,,,,,,,,,,
614,503,77,159,,,,,,,,,,,,,,
615,504,41,90,,,,,,,,,,,,,,
616,505,73,175,,,,,,,,,,,,,,
617,506,56,142,,,,,,,,,,,,,,
618,507,46,127,,,,,,,,,,,,,,
619,508,69,174,,,,,,,,,,,,,,
620,509,45,108,,,,,,,,,,,,,,
621,510,38,155,,,,,,,,,,,,,,
622,511,36,105,,,,,,,,,,,,,,
623,512,35,124,,,,,,,,,,,,,,
624,513,75,130,,,,,,,,,,,,,,
625,514,45,158,,,,,,,,,,,,,,
626,515,55,95,,,,,,,,,,,,,,
627,516,57,112,,,,,,,,,,,,,,
628,517,76,176,,,,,,,,,,,,,,
629,518,61,132,,,,,,,,,,,,,,
630,519,36,143,,,,,,,,,,,,,,
631,520,68,109,,,,,,,,,,,,,,
632,521,68,152,,,,,,,,,,,,,,
633,522,39,112,,,,,,,,,,,,,,
634,523,63,136,,,,,,,,,,,,,,
635,524,35,87,,,,,,,,,,,,,,
636,525,44,172,,,,,,,,,,,,,,
637,526,55,130,,,,,,,,,,,,,,
638,527,59,149,,,,,,,,,,,,,,
639,528,35,145,,,,,,,,,,,,,,
640,529,54,152,,,,,,,,,,,,,,
641,530,41,144,,,,,,,,,,,,,,
642,531,54,135,,,,,,,,,,,,,,
643,532,60,170,,,,,,,,,,,,,,
644,533,48,109,,,,,,,,,,,,,,
645,534,59,129,,,,,,,,,,,,,,
646,535,68,122,,,,,,,,,,,,,,
647,536,68,159,,,,,,,,,,,,,,
648,537,54,176,,,,,,,,,,,,,,
649,538,72,128,,,,,,,,,,,,,,
650,539,38,165,,,,,,,,,,,,,,
651,540,65,133,,,,,,,,,,,,,,
652,541,53,107,,,,,,,,,,,,,,
653,542,55,155,,,,,,,,,,,,,,
654,543,61,93,,,,,,,,,,,,,,
655,544,64,123,,,,,,,,,,,,,,
656,545,71,90,,,,,,,,,,,,,,
657,546,77,129,,,,,,,,,,,,,,
658,547,51,107,,,,,,,,,,,,,,
659,548,68,117,,,,,,,,,,,,,,
660,549,36,118,,,,,,,,,,,,,,
661,550,75,130,,,,,,,,,,,,,,
662,551,73,148,,,,,,,,,,,,,,
663,552,46,177,,,,,,,,,,,,,,
664,553,35,169,,,,,,,,,,,,,,
665,554,77,164,,,,,,,,,,,,,,
666,555,65,148,,,,,,,,,,,,,,
667,556,55,161,,,,,,,,,,,,,,
668,557,74,161,,,,,,,,,,,,,,
669,558,40,108,,,,,,,,,,,,,,
670,559,35,185,,,,,,,,,,,,,,
671,560,42,109,,,,,,,,,,,,,,
672,561,58,106,,,,,,,,,,,,,,
673,562,59,161,,,,,,,,,,,,,,
674,563,50,124,,,,,,,,,,,,,,
675,564,48,109,,,,,,,,,,,,,,
676,565,37,146,,,,,,,,,,,,,,
677,566,51,167,,,,,,,,,,,,,,
678,567,69,115,,,,,,,,,,,,,,
679,568,58,174,,,,,,,,,,,,,,
680,569,76,151,,,,,,,,,,,,,,
681,570,62,175,,,,,,,,,,,,,,
682,571,39,186,,,,,,,,,,,,,,
683,572,62,111,,,,,,,,,,,,,,
684,573,60,115,,,,,,,,,,,,,,
685,574,56,157,,,,,,,,,,,,,,
686,575,38,145,,,,,,,,,,,,,,
687,576,48,94,,,,,,,,,,,,,,
688,577,41,160,,,,,,,,,,,,,,
689,578,72,159,,,,,,,,,,,,,,
690,579,35,143,,,,,,,,,,,,,,
691,580,56,155,,,,,,,,,,,,,,
692,581,55,165,,,,,,,,,,,,,,
693,582,64,99,,,,,,,,,,,,,,
694,583,44,160,,,,,,,,,,,,,,
695,584,73,152,,,,,,,,,,,,,,
696,585,42,117,,,,,,,,,,,,,,
697,586,46,126,,,,,,,,,,,,,,
698,587,47,119,,,,,,,,,,,,,,
699,588,40,150,,,,,,,,,,,,,,
700,589,59,118,,,,,,,,,,,,,,
701,590,40,92,,,,,,,,,,,,,,
702,591,72,153,,,,,,,,,,,,,,
703,592,41,137,,,,,,,,,,,,,,
704,593,46,114,,,,,,,,,,,,,,
705,594,61,95,,,,,,,,,,,,,,
706,595,52,176,,,,,,,,,,,,,,
707,596,70,128,,,,,,,,,,,,,,
708,597,40,191,,,,,,,,,,,,,,
709,598,50,123,,,,,,,,,,,,,,
710,599,46,138,,,,,,,,,,,,,,
711,600,36,180,,,,,,,,,,,,,,
712,601,51,180,,,,,,,,,,,,,,
713,602,56,168,,,,,,,,,,,,,,
714,603,47,183,,,,,,,,,,,,,,
715,604,69,173,,,,,,,,,,,,,,
716,605,59,112,,,,,,,,,,,,,,
717,606,40,160,,,,,,,,,,,,,,
718,607,53,129,,,,,,,,,,,,,,
719,608,68,174,,,,,,,,,,,,,,
720,609,60,104,,,,,,,,,,,,,,
721,610,72,185,,,,,,,,,,,,,,
722,611,38,169,,,,,,,,,,,,,,
723,612,44,118,,,,,,,,,,,,,,
724,613,56,177,,,,,,,,,,,,,,
725,614,46,118,,,,,,,,,,,,,,
726,615,76,166,,,,,,,,,,,,,,
727,616,49,90,,,,,,,,,,,,,,
728,617,47,110,,,,,,,,,,,,,,
729,618,64,190,,,,,,,,,,,,,,
730,619,40,124,,,,,,,,,,,,,,
731,620,43,122,,,,,,,,,,,,,,
732,621,55,171,,,,,,,,,,,,,,
733,622,57,100,,,,,,,,,,,,,,
734,623,65,96,,,,,,,,,,,,,,
735,624,77,160,,,,,,,,,,,,,,
736,625,43,142,,,,,,,,,,,,,,
737,626,68,92,,,,,,,,,,,,,,
738,627,61,95,,,,,,,,,,,,,,
739,628,69,149,,,,,,,,,,,,,,
740,629,63,105,,,,,,,,,,,,,,
741,630,47,131,,,,,,,,,,,,,,
742,631,63,136,,,,,,,,,,,,,,
743,632,71,173,,,,,,,,,,,,,,
744,633,74,91,,,,,,,,,,,,,,
745,634,52,103,,,,,,,,,,,,,,
746,635,66,172,,,,,,,,,,,,,,
747,636,64,107,,,,,,,,,,,,,,
748,637,77,140,,,,,,,,,,,,,,
749,638,54,115,,,,,,,,,,,,,,
750,639,45,90,,,,,,,,,,,,,,
751,640,60,124,,,,,,,,,,,,,,
752,641,72,145,,,,,,,,,,,,,,
753,642,40,130,,,,,,,,,,,,,,
754,643,77,113,,,,,,,,,,,,,,
755,644,53,103,,,,,,,,,,,,,,
756,645,54,93,,,,,,,,,,,,,,
757,646,48,186,,,,,,,,,,,,,,
758,647,38,166,,,,,,,,,,,,,,
759,648,65,84,,,,,,,,,,,,,,
760,649,75,162,,,,,,,,,,,,,,
761,650,45,155,,,,,,,,,,,,,,
762,651,65,172,,,,,,,,,,,,,,
763,652,77,125,,,,,,,,,,,,,,
764,653,71,143,,,,,,,,,,,,,,
765,654,38,95,,,,,,,,,,,,,,
766,655,63,140,,,,,,,,,,,,,,
767,656,49,150,,,,,,,,,,,,,,
768,657,60,183,,,,,,,,,,,,,,
769,658,59,94,,,,,,,,,,,,,,
770,659,50,130,,,,,,,,,,,,,,
771,660,70,153,,,,,,,,,,,,,,
772,661,62,109,,,,,,,,,,,,,,
773,662,66,153,,,,,,,,,,,,,,
774,663,56,166,,,,,,,,,,,,,,
775,664,40,109,,,,,,,,,,,,,,
776,665,70,131,,,,,,,,,,,,,,
777,666,49,142,,,,,,,,,,,,,,
778,667,70,186,,,,,,,,,,,,,,
779,668,63,90,,,,,,,,,,,,,,
780,669,59,164,,,,,,,,,,,,,,
781,670,60,132,,,,,,,,,,,,,,
782,671,43,119,,,,,,,,,,,,,,
783,672,57,185,,,,,,,,,,,,,,
784,673,66,159,,,,,,,,,,,,,,
785,674,49,103,,,,,,,,,,,,,,
786,675,42,150,,,,,,,,,,,,,,
787,676,62,139,,,,,,,,,,,,,,
788,677,73,148,,,,,,,,,,,,,,
789,678,35,134,,,,,,,,,,,,,,
790,679,38,121,,,,,,,,,,,,,,
791,680,72,92,,,,,,,,,,,,,,
792,681,52,177,,,,,,,,,,,,,,
793,682,47,108,,,,,,,,,,,,,,
794,683,42,172,,,,,,,,,,,,,,
795,684,68,155,,,,,,,,,,,,,,
796,685,45,139,,,,,,,,,,,,,,
797,686,56,151,,,,,,,,,,,,,,
798,687,71,125,,,,,,,,,,,,,,
799,688,54,116,,,,,,,,,,,,,,
800,689,65,172,,,,,,,,,,,,,,
801,690,73,171,,,,,,,,,,,,,,
802,691,52,188,,,,,,,,,,,,,,
803,692,36,106,,,,,,,,,,,,,,
804,693,68,174,,,,,,,,,,,,,,
805,694,62,109,,,,,,,,,,,,,,
806,695,74,105,,,,,,,,,,,,,,
807,696,77,109,,,,,,,,,,,,,,
808,697,71,139,,,,,,,,,,,,,,
809,698,36,120,,,,,,,,,,,,,,
810,699,36,116,,,,,,,,,,,,,,
811,700,67,185,,,,,,,,,,,,,,
812,701,74,158,,,,,,,,,,,,,,
813,702,74,157,,,,,,,,,,,,,,
814,703,39,86,,,,,,,,,,,,,,
815,704,63,139,,,,,,,,,,,,,,
816,705,40,162,,,,,,,,,,,,,,
817,706,67,112,,,,,,,,,,,,,,
818,707,54,92,,,,,,,,,,,,,,
819,708,63,134,,,,,,,,,,,,,,
820,709,69,93,,,,,,,,,,,,,,
821,710,53,120,,,,,,,,,,,,,,
822,711,42,144,,,,,,,,,,,,,,
823,712,66,88,,,,,,,,,,,,,,
824,713,57,113,,,,,,,,,,,,,,
825,714,68,119,,,,,,,,,,,,,,
826,715,50,97,,,,,,,,,,,,,,
827,716,46,130,,,,,,,,,,,,,,
828,717,37,189,,,,,,,,,,,,,,
829,718,73,163,,,,,,,,,,,,,,
830,719,36,124,,,,,,,,,,,,,,
831,720,39,167,,,,,,,,,,,,,,
832,721,41,98,,,,,,,,,,,,,,
833,722,38,105,,,,,,,,,,,,,,
834,723,54,162,,,,,,,,,,,,,,
835,724,69,168,,,,,,,,,,,,,,
836,725,71,145,,,,,,,,,,,,,,
837,726,57,187,,,,,,,,,,,,,,
838,727,72,130,,,,,,,,,,,,,,
839,728,68,122,,,,,,,,,,,,,,
840,729,75,180,,,,,,,,,,,,,,
841,730,41,173,,,,,,,,,,,,,,
842,731,46,121,,,,,,,,,,,,,,
843,732,41,85,,,,,,,,,,,,,,
844,733,54,119,,,,,,,,,,,,,,
845,734,44,136,,,,,,,,,,,,,,
846,735,42,185,,,,,,,,,,,,,,
847,736,53,131,,,,,,,,,,,,,,
848,737,77,156,,,,,,,,,,,,,,
849,738,42,87,,,,,,,,,,,,,,
850,739,54,142,,,,,,,,,,,,,,
851,740,60,171,,,,,,,,,,,,,,
852,741,55,191,,,,,,,,,,,,,,
853,742,55,170,,,,,,,,,,,,,,
854,743,60,118,,,,,,,,,,,,,,
855,744,59,151,,,,,,,,,,,,,,
856,745,43,143,,,,,,,,,,,,,,
857,746,68,99,,,,,,,,,,,,,,
858,747,44,114,,,,,,,,,,,,,,
859,748,56,173,,,,,,,,,,,,,,
860,749,76,92,,,,,,,,,,,,,,
861,750,66,97,,,,,,,,,,,,,,
862,751,56,117,,,,,,,,,,,,,,
863,752,60,183,,,,,,,,,,,,,,
864,753,40,93,,,,,,,,,,,,,,
865,754,76,105,,,,,,,,,,,,,,
866,755,45,164,,,,,,,,,,,,,,
867,756,73,128,,,,,,,,,,,,,,
868,757,47,121,,,,,,,,,,,,,,
869,758,49,113,,,,,,,,,,,,,,
870,759,71,124,,,,,,,,,,,,,,
871,760,53,99,,,,,,,,,,,,,,
872,761,67,148,,,,,,,,,,,,,,
873,762,47,153,,,,,,,,,,,,,,
874,763,41,115,,,,,,,,,,,,,,
875,764,43,159,,,,,,,,,,,,,,
876,765,41,122,,,,,,,,,,,,,,
877,766,37,126,,,,,,,,,,,,,,
878,767,69,134,,,,,,,,,,,,,,
879,768,47,102,,,,,,,,,,,,,,
880,769,51,146,,,,,,,,,,,,,,
881,770,63,139,,,,,,,,,,,,,,
882,771,49,123,,,,,,,,,,,,,,
883,772,50,133,,,,,,,,,,,,,,
884,773,63,126,,,,,,,,,,,,,,
885,774,71,180,,,,,,,,,,,,,,
886,775,75,110,,,,,,,,,,,,,,
887,776,76,150,,,,,,,,,,,,,,
888,777,63,149,,,,,,,,,,,,,,
889,778,50,184,,,,,,,,,,,,,,
890,779,36,188,,,,,,,,,,,,,,
891,780,68,175,,,,,,,,,,,,,,
892,781,73,113,,,,,,,,,,,,,,
893,782,36,182,,,,,,,,,,,,,,
894,783,64,138,,,,,,,,,,,,,,
895,784,61,174,,,,,,,,,,,,,,
896,785,36,102,,,,,,,,,,,,,,
897,786,72,114,,,,,,,,,,,,,,
898,787,65,183,,,,,,,,,,,,,,
899,788,69,127,,,,,,,,,,,,,,
900,789,44,174,,,,,,,,,,,,,,
901,790,77,166,,,,,,,,,,,,,,
902,791,53,118,,,,,,,,,,,,,,
903,792,67,184,,,,,,,,,,,,,,
904,793,51,132,,,,,,,,,,,,,,
905,794,66,105,,,,,,,,,,,,,,
906,795,39,125,,,,,,,,,,,,,,
907,796,41,131,,,,,,,,,,,,,,
908,797,69,173,,,,,,,,,,,,,,
909,798,61,91,,,,,,,,,,,,,,
910,799,49,134,,,,,,,,,,,,,,
911,800,68,100,,,,,,,,,,,,,,
912,801,68,87,,,,,,,,,,,,,,
913,802,71,167,,,,,,,,,,,,,,
914,803,50,158,,,,,,,,,,,,,,
915,804,73,164,,,,,,,,,,,,,,
916,805,69,189,,,,,,,,,,,,,,
917,806,64,106,,,,,,,,,,,,,,
918,807,76,85,,,,,,,,,,,,,,
919,808,52,146,,,,,,,,,,,,,,
920,809,57,96,,,,,,,,,,,,,,
921,810,57,110,,,,,,,,,,,,,,
922,811,67,129,,,,,,,,,,,,,,
923,812,66,156,,,,,,,,,,,,,,
924,813,36,132,,,,,,,,,,,,,,
925,814,55,180,,,,,,,,,,,,,,
926,815,47,163,,,,,,,,,,,,,,
927,816,37,166,,,,,,,,,,,,,,
928,817,37,174,,,,,,,,,,,,,,
929,818,77,128,,,,,,,,,,,,,,
930,819,55,192,,,,,,,,,,,,,,
931,820,58,161,,,,,,,,,,,,,,
932,821,58,192,,,,,,,,,,,,,,
933,822,51,98,,,,,,,,,,,,,,
934,823,64,186,,,,,,,,,,,,,,
935,824,54,170,,,,,,,,,,,,,,
936,825,53,89,,,,,,,,,,,,,,
937,826,58,107,,,,,,,,,,,,,,
938,827,75,141,,,,,,,,,,,,,,
939,828,51,123,,,,,,,,,,,,,,
940,829,48,103,,,,,,,,,,,,,,
941,830,66,184,,,,,,,,,,,,,,
942,831,43,85,,,,,,,,,,,,,,
943,832,54,91,,,,,,,,,,,,,,
944,833,73,186,,,,,,,,,,,,,,
945,834,41,99,,,,,,,,,,,,,,
946,835,36,192,,,,,,,,,,,,,,
947,836,39,141,,,,,,,,,,,,,,
948,837,58,171,,,,,,,,,,,,,,
949,838,64,167,,,,,,,,,,,,,,
950,839,36,148,,,,,,,,,,,,,,
951,840,77,93,,,,,,,,,,,,,,
952,841,77,158,,,,,,,,,,,,,,
953,842,54,111,,,,,,,,,,,,,,
954,843,42,176,,,,,,,,,,,,,,
955,844,69,141,,,,,,,,,,,,,,
956,845,53,151,,,,,,,,,,,,,,
957,846,39,116,,,,,,,,,,,,,,
958,847,45,153,,,,,,,,,,,,,,
959,848,56,142,,,,,,,,,,,,,,
960,849,58,119,,,,,,,,,,,,,,
961,850,45,165,,,,,,,,,,,,,,
962,851,69,117,,,,,,,,,,,,,,
963,852,67,130,,,,,,,,,,,,,,
964,853,75,86,,,,,,,,,,,,,,
965,854,63,100,,,,,,,,,,,,,,
966,855,70,151,,,,,,,,,,,,,,
967,856,49,161,,,,,,,,,,,,,,
968,857,43,154,,,,,,,,,,,,,,
969,858,75,140,,,,,,,,,,,,,,
970,859,58,105,,,,,,,,,,,,,,
971,860,73,90,,,,,,,,,,,,,,
972,861,40,150,,,,,,,,,,,,,,
973,862,65,129,,,,,,,,,,,,,,
974,863,73,171,,,,,,,,,,,,,,
975,864,46,184,,,,,,,,,,,,,,
976,865,47,101,,,,,,,,,,,,,,
977,866,44,160,,,,,,,,,,,,,,
978,867,50,110,,,,,,,,,,,,,,
979,868,47,157,,,,,,,,,,,,,,
980,869,74,87,,,,,,,,,,,,,,
981,870,47,101,,,,,,,,,,,,,,
982,871,42,155,,,,,,,,,,,,,,
983,872,65,173,,,,,,,,,,,,,,
984,873,46,126,,,,,,,,,,,,,,
985,874,39,150,,,,,,,,,,,,,,
986,875,65,191,,,,,,,,,,,,,,
987,876,77,123,,,,,,,,,,,,,,
988,877,53,103,,,,,,,,,,,,,,
989,878,61,103,,,,,,,,,,,,,,
990,879,61,120,,,,,,,,,,,,,,
991,880,58,100,,,,,,,,,,,,,,
992,881,67,165,,,,,,,,,,,,,,
993,882,71,157,,,,,,,,,,,,,,
994,883,52,153,,,,,,,,,,,,,,
995,884,50,187,,,,,,,,,,,,,,
996,885,50,111,,,,,,,,,,,,,,
997,886,60,140,,,,,,,,,,,,,,
998,887,73,163,,,,,,,,,,,,,,
999,888,72,135,,,,,,,,,,,,,,
1000,889,74,180,,,,,,,,,,,,,,
1001,890,41,138,,,,,,,,,,,,,,
1002,891,64,156,,,,,,,,,,,,,,
1003,892,44,117,,,,,,,,,,,,,,
1004,893,42,177,,,,,,,,,,,,,,
1005,894,46,103,,,,,,,,,,,,,,
1006,895,62,96,,,,,,,,,,,,,,
1007,896,38,148,,,,,,,,,,,,,,
1008,897,56,100,,,,,,,,,,,,,,
1009,898,52,131,,,,,,,,,,,,,,
1010,899,69,87,,,,,,,,,,,,,,
1011,900,52,153,,,,,,,,,,,,,,
1012,901,36,100,,,,,,,,,,,,,,
1013,902,45,133,,,,,,,,,,,,,,
1014,903,52,135,,,,,,,,,,,,,,
1015,904,55,161,,,,,,,,,,,,,,
1016,905,47,98,,,,,,,,,,,,,,
1017,906,46,162,,,,,,,,,,,,,,
1018,907,43,88,,,,,,,,,,,,,,
1019,908,54,93,,,,,,,,,,,,,,
1020,909,57,143,,,,,,,,,,,,,,
1021,910,56,144,,,,,,,,,,,,,,
1022,911,50,103,,,,,,,,,,,,,,
1023,912,48,110,,,,,,,,,,,,,,
1024,913,42,84,,,,,,,,,,,,,,
1025,914,35,164,,,,,,,,,,,,,,
1026,915,49,131,,,,,,,,,,,,,,
1027,916,63,180,,,,,,,,,,,,,,
1028,917,55,138,,,,,,,,,,,,,,
1029,918,55,142,,,,,,,,,,,,,,
1030,919,52,166,,,,,,,,,,,,,,
1031,920,74,160,,,,,,,,,,,,,,
1032,921,51,144,,,,,,,,,,,,,,
1033,922,72,137,,,,,,,,,,,,,,
1034,923,71,122,,,,,,,,,,,,,,
1035,924,51,134,,,,,,,,,,,,,,
1036,925,64,117,,,,,,,,,,,,,,
1037,926,73,112,,,,,,,,,,,,,,
1038,927,58,177,,,,,,,,,,,,,,
1039,928,46,177,,,,,,,,,,,,,,
1040,929,70,84,,,,,,,,,,,,,,
1041,930,46,127,,,,,,,,,,,,,,
1042,931,54,163,,,,,,,,,,,,,,
1043,932,51,178,,,,,,,,,,,,,,
1044,933,55,125,,,,,,,,,,,,,,
1045,934,45,160,,,,,,,,,,,,,,
1046,935,59,183,,,,,,,,,,,,,,
1047,936,64,167,,,,,,,,,,,,,,
1048,937,62,169,,,,,,,,,,,,,,
1049,938,42,172,,,,,,,,,,,,,,
1050,939,47,174,,,,,,,,,,,,,,
1051,940,52,174,,,,,,,,,,,,,,
1052,941,61,144,,,,,,,,,,,,,,
1053,942,36,85,,,,,,,,,,,,,,
1054,943,57,128,,,,,,,,,,,,,,
1055,944,50,150,,,,,,,,,,,,,,
1056,945,44,150,,,,,,,,,,,,,,
1057,946,65,128,,,,,,,,,,,,,,
1058,947,56,139,,,,,,,,,,,,,,
1059,948,45,156,,,,,,,,,,,,,,
1060,949,42,85,,,,,,,,,,,,,,
1061,950,36,134,,,,,,,,,,,,,,
1062,951,39,159,,,,,,,,,,,,,,
1063,952,73,169,,,,,,,,,,,,,,
1064,953,62,98,,,,,,,,,,,,,,
1065,954,61,165,,,,,,,,,,,,,,
1066,955,64,133,,,,,,,,,,,,,,
1067,956,59,84,,,,,,,,,,,,,,
1068,957,60,131,,,,,,,,,,,,,,
1069,958,68,181,,,,,,,,,,,,,,
1070,959,64,124,,,,,,,,,,,,,,
1071,960,49,89,,,,,,,,,,,,,,
1072,961,36,153,,,,,,,,,,,,,,
1073,962,55,189,,,,,,,,,,,,,,
1074,963,44,112,,,,,,,,,,,,,,
1075,964,46,97,,,,,,,,,,,,,,
1076,965,58,138,,,,,,,,,,,,,,
1077,966,62,114,,,,,,,,,,,,,,
1078,967,69,186,,,,,,,,,,,,,,
1079,968,66,185,,,,,,,,,,,,,,
1080,969,63,112,,,,,,,,,,,,,,
1081,970,51,127,,,,,,,,,,,,,,
1082,971,68,149,,,,,,,,,,,,,,
1083,972,74,168,,,,,,,,,,,,,,
1084,973,36,160,,,,,,,,,,,,,,
1085,974,69,90,,,,,,,,,,,,,,
1086,975,66,122,,,,,,,,,,,,,,
1087,976,77,171,,,,,,,,,,,,,,
1088,977,64,190,,,,,,,,,,,,,,
1089,978,53,135,,,,,,,,,,,,,,
1090,979,44,184,,,,,,,,,,,,,,
1091,980,59,124,,,,,,,,,,,,,,
1092,981,71,137,,,,,,,,,,,,,,
1093,982,44,105,,,,,,,,,,,,,,
1094,983,70,115,,,,,,,,,,,,,,
1095,984,43,156,,,,,,,,,,,,,,
1096,985,65,177,,,,,,,,,,,,,,
1097,986,44,129,,,,,,,,,,,,,,
1098,987,77,185,,,,,,,,,,,,,,
1099,988,46,130,,,,,,,,,,,,,,
1100,989,65,160,,,,,,,,,,,,,,
1101,990,74,139,,,,,,,,,,,,,,
1102,991,54,108,,,,,,,,,,,,,,
1103,992,51,103,,,,,,,,,,,,,,
1104,993,57,175,,,,,,,,,,,,,,
1105,994,60,174,,,,,,,,,,,,,,
1106,995,56,111,,,,,,,,,,,,,,
1107,996,65,164,,,,,,,,,,,,,,
1108,997,64,84,,,,,,,,,,,,,,
1109,998,58,116,,,,,,,,,,,,,,
1110,999,51,162,,,,,,,,,,,,,,
1111,1000,76,166,,,,,,,,,,,,,,
