,n,25,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
296,111,72,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,112,74,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,113,71,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,114,77,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,115,77,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,116,71,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,117,74,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,118,70,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,119,72,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,120,73,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,121,71,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,122,74,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,123,73,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,124,70,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,125,69,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,126,71,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,127,73,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,128,75,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,129,74,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,130,74,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,131,67,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,132,76,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,133,67,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,134,72,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,135,74,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,136,75,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,137,72,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,138,68,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,139,68,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,140,76,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,141,74,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,142,68,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,143,74,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,144,72,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,145,67,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,146,71,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,147,68,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,148,67,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,149,73,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,150,68,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,151,75,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,152,74,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,153,76,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,154,74,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,155,69,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,156,77,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,157,68,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,158,72,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,159,77,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,160,72,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,161,68,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,162,70,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,163,74,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,164,76,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,165,67,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,166,72,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,167,70,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,168,71,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,169,77,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,170,72,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,171,73,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,172,68,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,173,69,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,174,72,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,175,77,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,176,69,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,177,67,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,178,75,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,179,73,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,180,72,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,181,71,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,182,71,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,183,69,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,184,76,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,185,68,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,186,72,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,187,67,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,188,69,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,189,77,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,190,69,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,191,75,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,192,67,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,193,73,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,194,74,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,195,68,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,196,69,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,197,72,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,198,77,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,199,73,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,200,68,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,201,70,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,202,72,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,203,68,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,204,77,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,205,68,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,206,74,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,207,67,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,208,76,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,209,72,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,210,75,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,211,73,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,212,68,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,213,72,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,214,72,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,215,68,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,216,72,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,217,75,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,218,68,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,219,75,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,220,70,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,221,72,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,222,75,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,223,68,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,224,74,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,225,77,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,226,72,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,227,67,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,228,70,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,229,67,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,230,74,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,231,75,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,232,74,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,233,68,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,234,76,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,235,76,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,236,70,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,237,73,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,238,69,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,239,69,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,240,70,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,241,68,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,242,69,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,243,75,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,244,68,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,245,76,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,246,71,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,247,69,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,248,72,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,249,67,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,250,70,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,251,75,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,252,74,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,253,71,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,254,67,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,255,68,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,256,68,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,257,75,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,258,69,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,259,71,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,260,68,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,261,70,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,262,76,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,263,77,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,264,71,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,265,77,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,266,75,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,267,71,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,268,69,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,269,69,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,270,77,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,271,75,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,272,70,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,273,75,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,274,77,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,275,74,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,276,71,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,277,74,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,278,70,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,279,67,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,280,73,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,281,71,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,282,73,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,283,75,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,284,77,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,285,72,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,286,74,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,287,71,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,288,73,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,289,68,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,290,70,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,291,74,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,292,77,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,293,67,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,294,74,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,295,70,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,296,69,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,297,67,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,298,73,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,299,77,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,300,73,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,301,68,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,302,77,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,303,77,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,304,70,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,305,71,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,306,68,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,307,71,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,308,68,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,309,72,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,310,74,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,311,67,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,312,75,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,313,75,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,314,74,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,315,73,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,316,74,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,317,77,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,318,75,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,319,77,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,320,70,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,321,74,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,322,67,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,323,75,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,324,68,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,325,67,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,326,75,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,327,76,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,328,67,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,329,67,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,330,76,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,331,77,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,332,77,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,333,77,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,334,73,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,335,76,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,336,72,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,337,77,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,338,68,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,339,71,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,340,76,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,341,77,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,342,69,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,343,72,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,344,74,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,345,69,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,346,75,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,347,70,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,348,71,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,349,68,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,350,74,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,351,68,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,352,72,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,353,73,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,354,75,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,355,74,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,356,69,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,357,72,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,358,76,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,359,76,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,360,74,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,361,76,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,362,76,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,363,72,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,364,77,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,365,76,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,366,75,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,367,71,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,368,77,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,369,76,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,370,75,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,371,70,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,372,71,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,373,77,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,374,67,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,375,73,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,376,75,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,377,70,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,378,70,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,379,68,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,380,69,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,381,72,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,382,74,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,383,70,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,384,73,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,385,76,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,386,75,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,387,75,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,388,73,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,389,67,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,390,75,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,391,76,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,392,76,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,393,74,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,394,68,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,395,70,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,396,76,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,397,70,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,398,71,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,399,72,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,400,76,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,401,69,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,402,74,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,403,67,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,404,75,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,405,69,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,406,74,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,407,77,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,408,76,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,409,71,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,410,72,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,411,74,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,412,72,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,413,67,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,414,67,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,415,69,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,416,68,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,417,76,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,418,72,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,419,76,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,420,67,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,421,71,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,422,71,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,423,74,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,424,68,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,425,70,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,426,73,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,427,74,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,428,72,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,429,75,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,430,73,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,431,71,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,432,70,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,433,72,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,434,72,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,435,77,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
